iter	Passed	Remaining
468	694	786
469	696	785
470	697	783
471	698	781
472	699	779
473	700	777
474	701	775
475	701	772
476	702	770
477	703	768
478	704	766
479	705	763
480	706	761
481	706	759
482	707	757
483	708	755
484	711	755
485	713	754
486	714	752
487	715	750
488	716	748
489	717	747
490	718	745
491	719	743
492	720	741
493	722	739
494	722	737
495	723	735
496	725	734
497	727	733
498	728	731
499	729	729
500	730	728
501	732	726
502	733	724
503	733	722
504	734	720
505	735	718
506	736	716
507	737	714
508	739	712
509	741	712
510	742	710
511	743	708
512	744	707
513	746	705
514	747	703
515	748	702
516	749	700
517	750	698
518	751	696
519	752	694
520	753	692
521	755	692
522	757	690
523	759	689
524	761	688
525	762	686
526	763	684
527	763	682
528	764	680
529	765	678
530	766	676
531	767	674
532	768	672
533	769	671
534	771	670
535	773	669
536	775	668
537	776	666
538	777	664
539	778	662
540	779	660
541	779	658
542	780	657
543	781	655
544	782	653
545	783	651
546	786	651
547	788	650
548	790	649
549	792	648
550	793	646
551	794	645
552	795	643
553	796	641
554	798	640
555	800	639
556	802	637
557	803	636
558	805	635
559	806	633
560	807	631
561	808	630
562	809	628
563	810	626
564	811	624
565	812	622
566	813	621
567	814	619
568	816	618
569	819	618
570	820	616
571	821	614
572	822	613
573	823	611
574	824	609
575	825	607
576	826	606
577	827	604
578	828	602
579	830	601
580	832	600
581	834	599
582	835	597
583	836	596
584	837	594
585	838	592
586	839	590
587	840	588
588	840	586
589	841	584
590	842	582
591	843	581
592	845	579
593	847	578
594	848	577
595	850	576
596	850	574
597	851	572
598	852	570
599	853	568
600	854	567
601	855	565
602	856	563
603	856	561
604	858	560
605	860	559
606	862	558
607	864	557
608	865	555
609	866	553
610	867	552
611	867	550
612	868	548
613	869	546
614	870	545
615	871	543
616	873	542
617	875	540
618	877	539
619	879	538
620	880	537
621	881	535
622	882	533
623	883	532
624	884	530
625	885	528
626	886	527
627	886	525
628	888	523
629	890	522
630	891	521
631	893	520
632	894	518
633	895	517
634	896	515
635	897	513
636	898	511
637	899	510
638	900	508
639	901	506
640	901	505
641	903	503
642	905	502
643	907	501
644	909	500
645	910	498
646	911	497
647	912	495
648	913	493
649	913	492
650	914	490
651	915	488
652	916	487
653	918	485
654	920	484
655	922	483
656	924	482
657	925	481
658	927	479
659	928	478
660	929	476
661	930	475
662	932	473
663	934	473
664	937	472
665	938	470
666	939	469
667	940	467
668	941	466
669	942	464
670	943	462
671	944	460
672	945	459
673	946	457
674	948	456
675	950	455
676	951	454
677	953	452
678	954	451
679	955	449
680	955	447
681	956	446
682	957	444
683	958	442
684	959	441
685	960	439
686	962	438
687	963	437
688	965	435
689	967	434
690	968	432
691	969	431
692	970	429
693	970	428
694	971	426
695	972	424
696	973	423
697	974	421
698	975	420
699	977	419
700	979	417
701	981	416
702	982	415
703	983	413
704	984	412
705	985	410
706	986	408
707	987	407
708	988	405
709	989	404
710	990	402
711	992	401
712	993	400
713	995	398
714	996	397
715	997	395
716	998	394
717	999	392
718	1000	390
719	1001	389
720	1001	387
721	1002	386
722	1003	384
723	1004	382
724	1004	381
725	1007	380
726	1008	378
727	1010	377
728	1012	376
729	1013	374
730	1013	373
731	1014	371
732	1015	369
733	1016	368
734	1017	366
735	1018	365
736	1018	363
737	1019	362
738	1022	360
739	1023	359
740	1025	358
741	1026	357
742	1027	355
743	1028	353
744	1029	352
745	1030	350
746	1030	349
747	1031	347
748	1032	345
749	1033	344
750	1033	342
751	1035	341
752	1036	340
753	1038	338
754	1039	337
755	1041	336
756	1042	334
757	1042	332
758	1043	331
759	1044	329
760	1045	328
761	1046	326
762	1046	325
763	1047	323
764	1048	322
765	1049	320
766	1051	319
767	1052	318
768	1054	316
769	1055	315
770	1056	313
771	1057	312
772	1057	310
773	1058	309
774	1059	307
775	1060	306
776	1061	304
777	1061	303
778	1062	301
779	1063	299
780	1064	298
781	1066	297
782	1067	295
783	1069	294
784	1070	293
785	1071	291
786	1072	290
787	1073	288
788	1074	287
789	1075	285
790	1075	284
791	1076	282
792	1077	281
793	1078	279
794	1079	278
795	1080	276
796	1082	275
797	1083	274
798	1085	272
799	1086	271
800	1087	270
801	1087	268
802	1088	267
803	1089	265
804	1090	264
805	1090	262
806	1091	261
807	1092	259
808	1093	258
809	1094	256
810	1095	255
811	1097	254
812	1098	252
813	1099	251
814	1100	249
815	1101	248
816	1102	246
817	1102	245
818	1103	243
819	1104	242
820	1105	240
821	1105	239
822	1106	237
823	1107	236
824	1108	235
825	1109	233
826	1111	232
827	1112	231
828	1114	229
829	1115	228
830	1116	226
831	1117	225
832	1117	224
833	1118	222
834	1119	221
835	1120	219
836	1120	218
837	1121	216
838	1122	215
839	1123	213
840	1124	212
841	1126	211
842	1128	210
843	1129	208
844	1131	207
845	1131	206
846	1132	204
847	1133	203
848	1134	201
849	1134	200
850	1135	198
851	1136	197
852	1137	195
853	1138	194
854	1139	193
855	1141	192
856	1142	190
857	1144	189
858	1145	188
859	1146	186
860	1147	185
861	1148	183
862	1149	182
863	1150	181
864	1151	179
865	1153	178
866	1155	177
867	1156	175
868	1158	174
869	1160	173
870	1161	171
871	1162	170
872	1163	169
873	1164	167
874	1166	166
875	1167	165
876	1168	163
877	1170	162
878	1172	161
879	1173	160
880	1174	158
881	1175	157
882	1177	155
883	1178	154
884	1179	153
885	1180	151
886	1181	150
887	1183	149
888	1185	148
889	1187	146
890	1189	145
891	1190	144
892	1190	142
893	1192	141
894	1193	140
895	1194	138
896	1195	137
897	1196	135
898	1197	134
899	1198	133
900	1200	131
901	1201	130
902	1203	129
903	1204	127
904	1205	126
905	1206	125
906	1207	123
907	1208	122
908	1214	121
909	1216	120
910	1218	119
911	1220	117
912	1222	116
913	1224	115
914	1225	113
915	1227	112
916	1229	111
917	1231	110
918	1233	108
919	1235	107
920	1236	106
921	1238	104
922	1240	103
923	1241	102
924	1242	100
925	1244	99
926	1246	98
927	1248	96
928	1249	95
929	1250	94
930	1251	92
931	1252	91
932	1254	90
933	1255	88
934	1256	87
935	1258	86
936	1260	84
937	1261	83
938	1263	82
939	1265	80
940	1266	79
941	1268	78
942	1270	76
943	1271	75
944	1274	74
945	1276	72
946	1278	71
947	1279	70
948	1280	68
949	1282	67
950	1283	66
951	1283	64
952	1284	63
953	1285	61
954	1287	60
955	1290	59
956	1291	58
957	1293	56
958	1294	55
959	1295	53
960	1296	52
961	1297	51
962	1298	49
963	1299	48
964	1300	47
965	1301	45
966	1304	44
967	1305	43
968	1306	41
969	1307	40
970	1309	39
971	1310	37
972	1310	36
973	1311	35
974	1312	33
975	1313	32
976	1314	30
977	1314	29
978	1315	28
979	1318	26
980	1320	25
981	1321	24
982	1322	22
983	1324	21
984	1325	20
985	1326	18
986	1327	17
987	1328	16
988	1329	14
989	1330	13
990	1332	12
991	1334	10
992	1335	9
993	1337	8
994	1338	6
995	1339	5
996	1340	4
997	1341	2
998	1342	1
999	1342	0
